Seq.;Atividade;Resultado;Comentário;Resultado Esperado;Descrição;Área de Negocio;Módulo/Sistema;Usuário Responsável;Anotações;Tempo (Minutos)
10;Submeter relatorios pendentes;Sucesso;;Relatorio de despesa submetido;Notificar usuarios para que enviem relatorios de Despesas e/ou adiantamentos pendentes > Funcionarios deverao Clicar em Li e aceito as politicas de viagem e despesas corporativas> Clicar em Enviar;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
20;Realizar aprovacao e auditoria de relatorios;Sucesso;;Reembolso de despesa auditado;Navegador> Auditoria> Em Tarefas clicar em Gerenciar Relatorio de Despesas com usuario Auditor > Pesquisar relatorios Pendentes de Aprovacao e Auditoria e trabalhar para resolver pendências;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
30;Transferir relatorios para contas a pagar;Sucesso;;Relatorio de despesa integrado para contas a pagar;Navegador> Auditoria> Em Tarefas clicar em Processar Reembolsos de Despesas e Adiantamentos em Dinheiro > Selecionar Unidade de Negocio> Escolher Tipo <Reembolso de Despesas> Clicar em Submeter;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
