Seq.;Atividade;Resultado;Comentário;Resultado Esperado;Descrição;Área de Negocio;Módulo/Sistema;Usuário Responsável;Anotações;Tempo (Minutos)
10;Aprovar Solicitacao de Adiantamento em Dinheiro;Sucesso;;Adiantamento de despesas aprovado;Realizar aprovacao da solicitacao de Adiantamento com usuario aprovador;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
20;Recusar Solicitação de Adiantamento em Dinheiro;Sucesso;;Adiantamento de despesas aprovado;Realizar aprovacao da solicitacao de Adiantamento com usuario aprovador;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
30;Acessar Tela de Auditoria;Sucesso;;Tarefa acessada;Navegador> Auditoria> Em Tarefas clicar em Gerenciar Adiantamentos em Dinheiro com usuario Auditor;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
40;Pesquisar Adiantamentos pendentes de Auditoria;Sucesso;;Relatorio de despesa encontrado;Pesquisar Adiantamentos com status Aprovacao Pendente do Auditor e clicar no número do Adiantamento para edita-lo;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
50;Auditar Adiantamento em Dinheiro;Sucesso;;Adiantamento de despesa auditado;Realizar Auditoria do Adiantamento em Dinheiro> Informar data de vencimento> Clicar em Aprovar;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
60;Acessar tela de Processamento Adiantamentos para o Contas a Pagar;Sucesso;;Tarefa acessada;Navegador> Auditoria> Em Tarefas clicar em Processar Reembolsos de Despesas e Adiantamentos em Dinheiro;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
70;Processar Adiantamento em Dinheiro para o Contas a Pagar;Sucesso;;Adiantamento de despesas criado no contas a pagar;Selecionar Unidade de Negocio> Escolher Tipo <Adiantamentos em Dinheiro> Clicar em Submeter;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
80;Acessar modulo de Despesas;Sucesso;;Modulo acessado;Navegador> Eu> Despesas;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
90;Realizar tour do Produto de Despesas;Sucesso;;Video normativo demonstrado;Assistir video> Clicar em Ir para Viagens e Despesas;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
100;Criar Adiantamento em Dinheiro;Sucesso;;Tarefa acessada;Clicar em Adiantamentos em Dinheiro> Clicar em Solicitar Adiantamento em Dinheiro;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
110;Preencher informacoes da solicitacao de Adiantamento;Sucesso;;Dados obrigatorios informados;Preencher os campos Valor de Adiantamento Finalidade Tipo de Adiantamento  Data de Inicio da Viagem Data de Final da Viagem Incluir Anexo;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
120;Enviar Solicitacao de Adiantamento em Dinheiro;Sucesso;;Adiantamento de despesas submetido;Clicar em Enviar;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
