EXECUCAO_ID;RELATORIO;INDICE_ORIGINAL;LIDER;PRIORIDADE;PAGINA;LINHA_TR;INICIO;FIM;TEMPO_TOTAL_LINHA_SEGUNDOS;STATUS_FECHAMENTO;ULTIMO_EVENTO
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;;07;2026-06-29 10:43:02;2026-06-29 10:43:03;0,254;FIM_POR_NOVA_LINHA;[AVISO][CONFIGURAÇÃO] Apenas 1 relatório foi carregado. Verifique se o .env usado é o correto e se RELATORIO_02, RELATORIO_03... existem nele.
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;1;9;2026-06-29 10:43:03;2026-06-29 10:45:12;128,963;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_07_LucasRamos_P3 | pagina=1 | origem=tr_child_9 | status=PLACEHOLDER_GERADO | tempo=9.96s
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;1;10;2026-06-29 10:45:12;2026-06-29 10:45:21;9,537;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_07_LucasRamos_P3 | pagina=1 | origem=tr_child_10 | status=PLACEHOLDER_GERADO | tempo=8.45s
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;1;11;2026-06-29 10:45:21;2026-06-29 10:45:31;9,611;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_07_LucasRamos_P3 | pagina=1 | origem=tr_child_11 | status=PLACEHOLDER_GERADO | tempo=8.51s
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;1;12;2026-06-29 10:45:31;2026-06-29 10:45:40;9,604;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_07_LucasRamos_P3 | pagina=1 | origem=tr_child_12 | status=PLACEHOLDER_GERADO | tempo=8.48s
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;1;13;2026-06-29 10:45:40;2026-06-29 10:45:50;9,724;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_07_LucasRamos_P3 | pagina=1 | origem=tr_child_13 | status=PLACEHOLDER_GERADO | tempo=8.64s
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;1;14;2026-06-29 10:45:50;2026-06-29 10:46:00;9,54;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_07_LucasRamos_P3 | pagina=1 | origem=tr_child_14 | status=PLACEHOLDER_GERADO | tempo=8.44s
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;1;15;2026-06-29 10:46:00;2026-06-29 10:46:09;9,538;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_07_LucasRamos_P3 | pagina=1 | origem=tr_child_15 | status=PLACEHOLDER_GERADO | tempo=8.41s
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;1;16;2026-06-29 10:46:09;2026-06-29 10:46:19;9,639;FIM_POR_NOVA_LINHA;[MÉTRICA] LINHA_SEM_EDIT_PLACEHOLDER | relatorio=RELATORIO_07_LucasRamos_P3 | pagina=1 | origem=tr_child_16 | status=PLACEHOLDER_GERADO | tempo=8.53s
20260629_104302;RELATORIO_07_LucasRamos_P3;7;LucasRamos;P3;1;0;2026-06-29 10:46:19;2026-06-29 10:46:23;4,024;FIM_RELATORIO;[INFO] Navegador será fechado automaticamente. Processo concluído.
