Seq.;Atividade;Resultado;Comentário;Resultado Esperado;Descrição;Área de Negocio;Módulo/Sistema;Usuário Responsável;Anotações;Tempo (Minutos)
10;Baixar Planilha FBDI;Não Executado;;Contabilizacao validada;Configuração e Manutenção>Pesquisa> File Based Data Import - Import Journals;Controladoria;Fusion: GL;Walceir Hernandes;;
20;Inserir Lançamentos contabeis;Não Executado;;Contabilizacao validada;Criar Lançamentos na planilha ( preencher campos);Controladoria;Fusion: GL;Walceir Hernandes;;
30;Fazer upload da planilha dentro do sistema;Não Executado;;Contabilizacao validada;Ferramentas>Importação e Exportação de Arquivos;Controladoria;Fusion: GL;Walceir Hernandes;;
40;Realizar o Importação de Lanaçamentos;Não Executado;;Contabilizacao validada;Submeter importacao de lancamentos;Controladoria;Fusion: GL;Walceir Hernandes;;
50;Validar Contabilização;Não Executado;;Contabilizacao validada;Validar Lote Importado;Controladoria;Fusion: GL;Walceir Hernandes;;
60;Submeter Lançamento para Aprovação;Não Executado;;Contabilizacao validada;Submeter Lancamento para Aprovacao;Controladoria;Fusion: GL;Walceir Hernandes;;
