DATA_HORA;RELATORIO;LIDER;PRIORIDADE;LINHA_TR;TIPO_ORIGEM;STATUS_RECUPERACAO;QTD_DOWNLOADS;DETALHE;ENV_USADO
2026-06-30 10:48:30;RELATORIO_11_Camila_P3;Camila;P3;9;INCONCLUSIVA;ERRO_CONFIG;0;".env incompleto para RELATORIO_11_Camila_P3: C:\REPOSITORIOS\GTN_PMO\SIT_PMO\GTN_19_RELATORIOS_SCRIPTS_E_ENVS_CORRIGIDOS\GTN_19_RELATORIOS_V7_1_RETRY_MESMO_PONTO_FINAL_COM_CREDENCIAIS\credenciais\env_CAMILA_P3.env
Campos faltando: saved_report_value";.
2026-06-30 10:48:30;RELATORIO_13_RenatoMezzalira_P1;RenatoMezzalira;P1;190;SEM_LINHA_NAO_ENCONTRADA;ERRO_CONFIG;0;".env incompleto para RELATORIO_13_RenatoMezzalira_P1: C:\REPOSITORIOS\GTN_PMO\SIT_PMO\GTN_19_RELATORIOS_SCRIPTS_E_ENVS_CORRIGIDOS\GTN_19_RELATORIOS_V7_1_RETRY_MESMO_PONTO_FINAL_COM_CREDENCIAIS\credenciais\env_RENATOMEZZALIRA_P1.env
Campos faltando: saved_report_value";.
2026-06-30 10:48:30;RELATORIO_13_RenatoMezzalira_P1;RenatoMezzalira;P1;241;SEM_LINHA_NAO_ENCONTRADA;ERRO_CONFIG;0;".env incompleto para RELATORIO_13_RenatoMezzalira_P1: C:\REPOSITORIOS\GTN_PMO\SIT_PMO\GTN_19_RELATORIOS_SCRIPTS_E_ENVS_CORRIGIDOS\GTN_19_RELATORIOS_V7_1_RETRY_MESMO_PONTO_FINAL_COM_CREDENCIAIS\credenciais\env_RENATOMEZZALIRA_P1.env
Campos faltando: saved_report_value";.
2026-06-30 10:48:30;RELATORIO_13_RenatoMezzalira_P1;RenatoMezzalira;P1;265;SEM_LINHA_NAO_ENCONTRADA;ERRO_CONFIG;0;".env incompleto para RELATORIO_13_RenatoMezzalira_P1: C:\REPOSITORIOS\GTN_PMO\SIT_PMO\GTN_19_RELATORIOS_SCRIPTS_E_ENVS_CORRIGIDOS\GTN_19_RELATORIOS_V7_1_RETRY_MESMO_PONTO_FINAL_COM_CREDENCIAIS\credenciais\env_RENATOMEZZALIRA_P1.env
Campos faltando: saved_report_value";.
2026-06-30 10:48:30;RELATORIO_13_RenatoMezzalira_P1;RenatoMezzalira;P1;266;SEM_LINHA_NAO_ENCONTRADA;ERRO_CONFIG;0;".env incompleto para RELATORIO_13_RenatoMezzalira_P1: C:\REPOSITORIOS\GTN_PMO\SIT_PMO\GTN_19_RELATORIOS_SCRIPTS_E_ENVS_CORRIGIDOS\GTN_19_RELATORIOS_V7_1_RETRY_MESMO_PONTO_FINAL_COM_CREDENCIAIS\credenciais\env_RENATOMEZZALIRA_P1.env
Campos faltando: saved_report_value";.
2026-06-30 10:48:30;RELATORIO_13_RenatoMezzalira_P1;RenatoMezzalira;P1;267;SEM_LINHA_NAO_ENCONTRADA;ERRO_CONFIG;0;".env incompleto para RELATORIO_13_RenatoMezzalira_P1: C:\REPOSITORIOS\GTN_PMO\SIT_PMO\GTN_19_RELATORIOS_SCRIPTS_E_ENVS_CORRIGIDOS\GTN_19_RELATORIOS_V7_1_RETRY_MESMO_PONTO_FINAL_COM_CREDENCIAIS\credenciais\env_RENATOMEZZALIRA_P1.env
Campos faltando: saved_report_value";.
2026-06-30 10:48:30;RELATORIO_13_RenatoMezzalira_P1;RenatoMezzalira;P1;268;SEM_LINHA_NAO_ENCONTRADA;ERRO_CONFIG;0;".env incompleto para RELATORIO_13_RenatoMezzalira_P1: C:\REPOSITORIOS\GTN_PMO\SIT_PMO\GTN_19_RELATORIOS_SCRIPTS_E_ENVS_CORRIGIDOS\GTN_19_RELATORIOS_V7_1_RETRY_MESMO_PONTO_FINAL_COM_CREDENCIAIS\credenciais\env_RENATOMEZZALIRA_P1.env
Campos faltando: saved_report_value";.
2026-06-30 10:48:30;RELATORIO_13_RenatoMezzalira_P1;RenatoMezzalira;P1;269;SEM_LINHA_NAO_ENCONTRADA;ERRO_CONFIG;0;".env incompleto para RELATORIO_13_RenatoMezzalira_P1: C:\REPOSITORIOS\GTN_PMO\SIT_PMO\GTN_19_RELATORIOS_SCRIPTS_E_ENVS_CORRIGIDOS\GTN_19_RELATORIOS_V7_1_RETRY_MESMO_PONTO_FINAL_COM_CREDENCIAIS\credenciais\env_RENATOMEZZALIRA_P1.env
Campos faltando: saved_report_value";.
2026-06-30 10:48:30;RELATORIO_13_RenatoMezzalira_P1;RenatoMezzalira;P1;270;SEM_LINHA_NAO_ENCONTRADA;ERRO_CONFIG;0;".env incompleto para RELATORIO_13_RenatoMezzalira_P1: C:\REPOSITORIOS\GTN_PMO\SIT_PMO\GTN_19_RELATORIOS_SCRIPTS_E_ENVS_CORRIGIDOS\GTN_19_RELATORIOS_V7_1_RETRY_MESMO_PONTO_FINAL_COM_CREDENCIAIS\credenciais\env_RENATOMEZZALIRA_P1.env
Campos faltando: saved_report_value";.
2026-06-30 10:48:30;RELATORIO_14_RenatoMezzalira_P2;RenatoMezzalira;P2;75;INCONCLUSIVA;ERRO_CONFIG;0;".env incompleto para RELATORIO_14_RenatoMezzalira_P2: C:\REPOSITORIOS\GTN_PMO\SIT_PMO\GTN_19_RELATORIOS_SCRIPTS_E_ENVS_CORRIGIDOS\GTN_19_RELATORIOS_V7_1_RETRY_MESMO_PONTO_FINAL_COM_CREDENCIAIS\credenciais\env_RENATOMEZZALIRA_P2.env
Campos faltando: saved_report_value";.
2026-06-30 10:48:30;RELATORIO_14_RenatoMezzalira_P2;RenatoMezzalira;P2;76;SEM_LINHA_NAO_ENCONTRADA;ERRO_CONFIG;0;".env incompleto para RELATORIO_14_RenatoMezzalira_P2: C:\REPOSITORIOS\GTN_PMO\SIT_PMO\GTN_19_RELATORIOS_SCRIPTS_E_ENVS_CORRIGIDOS\GTN_19_RELATORIOS_V7_1_RETRY_MESMO_PONTO_FINAL_COM_CREDENCIAIS\credenciais\env_RENATOMEZZALIRA_P2.env
Campos faltando: saved_report_value";.
2026-06-30 10:48:30;RELATORIO_14_RenatoMezzalira_P2;RenatoMezzalira;P2;77;SEM_LINHA_NAO_ENCONTRADA;ERRO_CONFIG;0;".env incompleto para RELATORIO_14_RenatoMezzalira_P2: C:\REPOSITORIOS\GTN_PMO\SIT_PMO\GTN_19_RELATORIOS_SCRIPTS_E_ENVS_CORRIGIDOS\GTN_19_RELATORIOS_V7_1_RETRY_MESMO_PONTO_FINAL_COM_CREDENCIAIS\credenciais\env_RENATOMEZZALIRA_P2.env
Campos faltando: saved_report_value";.
